timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1687227596307,Tue Jun 20 02:19:56 UTC 2023,6,0,75,21,1,隨著創作大量而高品質的衍生作品的成本越來越低，版權將變得越來越沒有約束力。
1687227637784,Tue Jun 20 02:20:37 UTC 2023,10,0,66,46,1,面對新科技的恐懼被過度放大，人類其實並不需要理解背後是如何運作，也能夠利用它並從中獲益。
1687227728909,Tue Jun 20 02:22:08 UTC 2023,24,0,91,4,1,公部門應建立與資料有關的基礎設施，例如優先解決資料治理的法治基礎與相關規範，讓學者或業界能夠更積極嘗試應用政府相關資料。
1687234626809,Tue Jun 20 04:17:06 UTC 2023,37,0,98,6,1,AI只是歷史上一系列技術進步中的一個工具，創作者仍會以創新和自我表達形式進行創作。
1687234636919,Tue Jun 20 04:17:16 UTC 2023,38,0,88,12,1,AI是讓人類變得更強的工具，它將會強化擁有創作慾望的人。
1687234649747,Tue Jun 20 04:17:29 UTC 2023,39,0,71,18,1,由人類自己創造的事物比起AI創作，更有意義。
1687234660044,Tue Jun 20 04:17:40 UTC 2023,40,0,112,3,1,如何更聰明地使用AI，將成為未來創作的重要指標。
1687234669531,Tue Jun 20 04:17:49 UTC 2023,41,0,100,6,1,AI 適合運用於「發散過程」，作為構想發展的輔助，協助設計師快速創意生成、擴充設計概念廣度。
1687234681673,Tue Jun 20 04:18:01 UTC 2023,42,0,89,11,1,AI 產出的作品，要如何與資料來源者分潤，是一個迫切的問題。
1687234698699,Tue Jun 20 04:18:18 UTC 2023,43,0,101,7,1,利用 AI 創作所得到的獲益，應該也要回歸到模型背後創造這些素材的藝術家或創作者。
1687234707137,Tue Jun 20 04:18:27 UTC 2023,44,0,110,1,1,隨著 AI 技術繼續以前所未有的速度發展，人類和機器生成的創作之間的界限變得模糊，關於知識產權、所有權和法律責任的關鍵問題需要被深入探討。
1687234716892,Tue Jun 20 04:18:36 UTC 2023,45,0,104,3,1,目前 AI 的發展狀態，將會劇烈地改變許多產業生態。
1687234735154,Tue Jun 20 04:18:55 UTC 2023,46,0,80,24,1,AI 會產生大規模的錯誤訊息，媒體內容將更加難以求證。
1687234751156,Tue Jun 20 04:19:11 UTC 2023,47,0,56,50,1,當未來 AI 充斥生活，整個世界從目前的後真相時代進一步成為無真相時代，完全放棄或無能追求真實。
1687234759067,Tue Jun 20 04:19:19 UTC 2023,48,0,100,4,1,關於 AI 的規範，要考量到世界各地不同的文化和脈絡，而不僅僅是特定國家的觀點。
1687234769957,Tue Jun 20 04:19:29 UTC 2023,49,0,81,20,1,在處理涉及當地文化或法律差異的話題時，例如 LGBTQ 權利、人權和女權，AI 產出的內容應該根據文化和地點差異而改變。
1687234781487,Tue Jun 20 04:19:41 UTC 2023,50,0,101,7,1,世界上每個人對於 AI 都應該要有開放和平等的使用機會。
1687234793607,Tue Jun 20 04:19:53 UTC 2023,51,0,97,7,1,公平和正義也應嵌入到 AI 的設計和部署中，以避免延續或加劇社會中現有的偏見和歧視。
1687234849411,Tue Jun 20 04:20:49 UTC 2023,52,0,88,9,1,技術端應該積極改善 AI 產生社會偏見的問題。
1687234857764,Tue Jun 20 04:20:57 UTC 2023,53,0,90,12,1,AI 的使用如果集中在資產階級高的人手上，會造成貧富差距擴大。
1687234866206,Tue Jun 20 04:21:06 UTC 2023,54,0,102,3,1,公務人員使用 AI 處理業務內容時，應進行相關培訓。
1687234874366,Tue Jun 20 04:21:14 UTC 2023,55,0,101,7,1,使用 AI 能夠減輕國家公務員的負擔，但需要研議如何應對處理機密資訊時，不會發生資訊外洩的疑慮。
1687234881982,Tue Jun 20 04:21:21 UTC 2023,56,0,38,38,1,對於政府使用 AI 進行業務處理，是讓人信賴的。
